Time(Instant);ElapsedTime(s);Reference Position (m);Position BASELINE (m);Position Error BASELINE (m);Reference Speed (m/s);Speed BASELINE (m/s);Speed Error BASELINE (m/s)
19:48:23;1783367303.199;192.783000;192.954861;-0.171861;17.980000;17.919851;0.060149
19:48:23;1783367303.799;203.720000;203.840103;-0.120103;18.474000;18.410144;0.063856
19:48:23;1783367303.799;203.720000;203.840103;-0.120103;18.474000;18.410144;0.063856
19:48:24;1783367304.199;211.174000;211.328550;-0.154550;18.796000;18.738310;0.057690
19:48:24;1783367304.199;211.174000;211.328550;-0.154550;18.796000;18.738310;0.057690
19:48:24;1783367304.799;222.594000;222.699319;-0.105319;19.270000;19.208850;0.061150
19:48:24;1783367304.799;222.594000;222.699319;-0.105319;19.270000;19.208850;0.061150
19:48:25;1783367305.199;230.364000;230.401584;-0.037584;19.580000;19.524806;0.055194
19:48:25;1783367305.199;230.364000;230.401584;-0.037584;19.580000;19.524806;0.055194
19:48:25;1783367305.799;242.250000;242.239742;0.010258;20.038000;19.979089;0.058911
19:48:25;1783367305.799;242.250000;242.239742;0.010258;20.038000;19.979089;0.058911
19:48:26;1783367306.199;250.325000;250.416263;-0.091263;20.338000;20.284749;0.053251
19:48:26;1783367306.199;250.325000;250.416263;-0.091263;20.338000;20.284749;0.053251
19:48:26;1783367306.799;262.661000;262.706376;-0.045376;20.781000;20.724598;0.056402
19:48:26;1783367306.799;262.661000;262.706376;-0.045376;20.781000;20.724598;0.056402
19:48:27;1783367307.199;271.032000;271.141667;-0.109667;21.072000;21.020900;0.051100
19:48:27;1783367307.199;271.032000;271.141667;-0.109667;21.072000;21.020900;0.051100
19:48:27;1783367307.799;283.805000;283.869573;-0.064573;21.501000;21.446163;0.054837
19:48:27;1783367307.799;283.805000;283.869573;-0.064573;21.501000;21.446163;0.054837
19:48:28;1783367308.199;292.461000;292.625853;-0.164853;21.781000;21.731227;0.049773
19:48:28;1783367308.199;292.461000;292.625853;-0.164853;21.781000;21.731227;0.049773
19:48:28;1783367308.799;305.653000;305.775153;-0.122153;22.191000;22.138672;0.052328
19:48:28;1783367308.799;305.653000;305.775153;-0.122153;22.191000;22.138672;0.052328
19:48:29;1783367309.199;314.583000;314.670356;-0.087356;22.458000;22.411160;0.046840
19:48:29;1783367309.199;314.583000;314.670356;-0.087356;22.458000;22.411160;0.046840
19:48:29;1783367309.799;328.176000;328.222775;-0.046775;22.851000;22.800948;0.050052
19:48:29;1783367309.799;328.176000;328.222775;-0.046775;22.851000;22.800948;0.050052
19:48:30;1783367310.199;337.368000;337.580061;-0.212061;23.107000;23.061790;0.045210
19:48:30;1783367310.199;337.368000;337.580061;-0.212061;23.107000;23.061790;0.045210
19:48:30;1783367310.799;351.345000;351.518236;-0.173236;23.483000;23.434802;0.048198
19:48:30;1783367310.799;351.345000;351.518236;-0.173236;23.483000;23.434802;0.048198
19:48:31;1783367311.199;360.788000;360.845308;-0.057308;23.729000;23.685334;0.043666
19:48:31;1783367311.199;360.788000;360.845308;-0.057308;23.729000;23.685334;0.043666
19:48:31;1783367311.799;375.135000;375.154338;-0.019338;24.093000;24.046808;0.046192
19:48:31;1783367311.799;375.135000;375.154338;-0.019338;24.093000;24.046808;0.046192
19:48:32;1783367312.199;384.820000;384.889281;-0.069281;24.333000;24.290448;0.042552
19:48:32;1783367312.199;384.820000;384.889281;-0.069281;24.333000;24.290448;0.042552
19:48:32;1783367312.799;399.526000;399.558616;-0.032616;24.687000;24.641891;0.045109
19:48:32;1783367312.799;399.526000;399.558616;-0.032616;24.687000;24.641891;0.045109
19:48:33;1783367313.199;409.447000;409.423440;0.023560;24.919000;24.877986;0.041014
19:48:33;1783367313.199;409.447000;409.423440;0.023560;24.919000;24.877986;0.041014
19:48:33;1783367313.799;424.501000;424.441864;0.059136;25.259000;25.216304;0.042696
19:48:33;1783367313.799;424.501000;424.441864;0.059136;25.259000;25.216304;0.042696
19:48:34;1783367314.199;434.633000;434.695272;-0.062272;25.398000;25.373451;0.024549
19:48:34;1783367314.199;434.633000;434.695272;-0.062272;25.398000;25.373451;0.024549
19:48:34;1783367314.799;449.933000;449.974245;-0.041245;25.602000;25.576349;0.025651
19:48:34;1783367314.799;449.933000;449.974245;-0.041245;25.602000;25.576349;0.025651
19:48:35;1783367315.199;460.200000;460.411632;-0.211632;25.734000;25.711554;0.022446
19:48:35;1783367315.199;460.200000;460.411632;-0.211632;25.734000;25.711554;0.022446
19:48:35;1783367315.799;475.699000;475.890631;-0.191631;25.929000;25.904656;0.024344
19:48:35;1783367315.799;475.699000;475.890631;-0.191631;25.929000;25.904656;0.024344
19:48:36;1783367316.199;486.096000;486.134125;-0.038125;26.056000;26.033934;0.022066
19:48:36;1783367316.199;486.096000;486.134125;-0.038125;26.056000;26.033934;0.022066
19:48:36;1783367316.799;501.787000;501.804971;-0.017971;26.245000;26.221699;0.023301
19:48:36;1783367316.799;501.787000;501.804971;-0.017971;26.245000;26.221699;0.023301
19:48:37;1783367317.199;512.310000;512.468517;-0.158517;26.370000;26.348943;0.021057
19:48:37;1783367317.199;512.310000;512.468517;-0.158517;26.370000;26.348943;0.021057
19:48:37;1783367317.799;528.188000;528.327485;-0.139485;26.557000;26.533553;0.023447
19:48:37;1783367317.799;528.188000;528.327485;-0.139485;26.557000;26.533553;0.023447
19:48:38;1783367318.199;538.836000;539.085653;-0.249653;26.680000;26.658647;0.021353
19:48:38;1783367318.199;538.836000;539.085653;-0.249653;26.680000;26.658647;0.021353
19:48:38;1783367318.799;554.898000;555.129557;-0.231557;26.863000;26.839930;0.023070
19:48:38;1783367318.799;554.898000;555.129557;-0.231557;26.863000;26.839930;0.023070
19:48:39;1783367319.199;565.668000;565.759357;-0.091357;26.983000;26.962541;0.020459
19:48:39;1783367319.199;565.668000;565.759357;-0.091357;26.983000;26.962541;0.020459
